"","FID","WNS_MAP_YR","WNS_STATUS","YR_SUSPECT","YR_CONFIRM","SAMPLEDATE","STATEPROV","COUNTYNAME","FIPS","COUNTRY","suspect1","suspect2","confirm1","confirm2","smooth","county","date","year","rownumber","GC","Title","lon","lat","Date","Type","User","Log","title","url","country","numfinds","numpage","wns.map.yr","r.suspect","yr.confirm"
"28",24,"2008-09","Confirmed"," ","2008-09"," ","New York","Hamilton","36041","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Hamilton-New York",2008-01-01,2008,25,"GC1307W","Auger Falls Cave",43.46728,-74.24645,2008-08-30,"Type.found_it","oneshotlogger","<p>Great hide! Its been years sence I've been in here. Came in with taply trackers and my pal. Thanks for bring us here. TNLN</p>","Auger Falls Cave","https://www.geocaching.com/geocache/GC1307W_auger-falls-cave","United States",108,5,2008-01-01,NA,2008-01-01
"29",24,"2008-09","Confirmed"," ","2008-09"," ","New York","Hamilton","36041","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Hamilton-New York",2008-01-01,2008,25,"GC1307W","Auger Falls Cave",43.46728,-74.24645,2008-08-30,"Type.found_it","harrington_hunter","<p>First find of the day with oneshotlogger.  Great hide!  A family showed up and my father (oneshotlogger) said to one of the kids &quot;Are you looking for the same thing I am.&quot;  The perfect answer - &quot;I don't know - what are you looking for?!?&quot;  Again, great hide.  T: wooden coin L: anti-bacterial hand cleaner on caribeaner found at Round Up Reunion cache.</p>","Auger Falls Cave","https://www.geocaching.com/geocache/GC1307W_auger-falls-cave","United States",108,5,2008-01-01,NA,2008-01-01
"30",24,"2008-09","Confirmed"," ","2008-09"," ","New York","Hamilton","36041","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Hamilton-New York",2008-01-01,2008,25,"GC1307W","Auger Falls Cave",43.46728,-74.24645,2008-08-24,"Type.found_it","N4387K","<p>This cache is what the geo cache sport is all about.  Takes you to a really neat place.  The cache is hid well but not impossible.  I'm 6'1&quot; tall and 220lbs.  Slid in whith no trouble.  Just got dirty and wet.  Hint.  Go in right shoulder first.  You can't turn around in the cave.  Plan on getting dirty.  Falls is very impressive with all the rain we have been getting.  TNLN  SL  TFTC</p>","Auger Falls Cave","https://www.geocaching.com/geocache/GC1307W_auger-falls-cave","United States",108,5,2008-01-01,NA,2008-01-01
"31",24,"2008-09","Confirmed"," ","2008-09"," ","New York","Hamilton","36041","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Hamilton-New York",2008-01-01,2008,25,"GC1307W","Auger Falls Cave",43.46728,-74.24645,2008-08-17,"Type.found_it","bzdreamer","<p>Third cache today with BZ Mama after dropping the kids off at camp.  Enjoyed the peace and quiet of a walk in the woods by ourselves. Caves are definately up my alley so I really enjoyed the find while BZ Mama took pictures of the cave and waterfalls.  TN, left GeoNickel.  TFTH.   </p>","Auger Falls Cave","https://www.geocaching.com/geocache/GC1307W_auger-falls-cave","United States",108,5,2008-01-01,NA,2008-01-01
"32",24,"2008-09","Confirmed"," ","2008-09"," ","New York","Hamilton","36041","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Hamilton-New York",2008-01-01,2008,25,"GC1307W","Auger Falls Cave",43.46728,-74.24645,2008-08-17,"Type.found_it","Redisant Kitten","<p>Wow, talk about beautiful.  Walked around a bit and explored the area.  The falls were gorgeous and the cave was fun.  Thanks for bringing us here.</p>","Auger Falls Cave","https://www.geocaching.com/geocache/GC1307W_auger-falls-cave","United States",108,5,2008-01-01,NA,2008-01-01
"33",24,"2008-09","Confirmed"," ","2008-09"," ","New York","Hamilton","36041","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Hamilton-New York",2008-01-01,2008,25,"GC1307W","Auger Falls Cave",43.46728,-74.24645,2008-08-14,"Type.found_it","myers0696","<p>Somehow I got this one with a 15mo old and a 3 year old. Mother of the year that I am, had the 3 year old &quot;BABYSIT&quot; the baby while I went in for the thing. In hindsite, maybe not th best choice, but all went well and we had a WONDERFUL hike in and adventures all around.  The mushrooms were interesting. Just loved everything about this cache. Thanks for hiding it here!</p>","Auger Falls Cave","https://www.geocaching.com/geocache/GC1307W_auger-falls-cave","United States",108,5,2008-01-01,NA,2008-01-01
"34",24,"2008-09","Confirmed"," ","2008-09"," ","New York","Hamilton","36041","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Hamilton-New York",2008-01-01,2008,25,"GC1307W","Auger Falls Cave",43.46728,-74.24645,2008-08-09,"Type.found_it","Smartie Beckett","<p>This was a very memorable cache for many reasons. Very nice walk in, (some of the trunk/rock formations were amazing), beautiful falls (jumped off a cliff further down when i was much younger, although probably wouldn't do it now after hearing some tragic events that have happened since.) All in all, it wasn't as hard as I originally thought, although I recovered it with some trepidation. Just a beautiful area, and very memorable. TFTC. Took bottle cap &amp; left marbles. </p>","Auger Falls Cave","https://www.geocaching.com/geocache/GC1307W_auger-falls-cave","United States",108,5,2008-01-01,NA,2008-01-01
"35",24,"2008-09","Confirmed"," ","2008-09"," ","New York","Hamilton","36041","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Hamilton-New York",2008-01-01,2008,25,"GC1307W","Auger Falls Cave",43.46728,-74.24645,2008-07-25,"Type.didnt_find_it","CTC42","<p>Well we found the cave, but have to loose some weight to get in there. We were warned that we needed a skinny geocacher but the grandson is in Greensboro, NC. We'll have to wait till he comes back north next year  to help us retrieve it.  Auger Falls and the other falls in the area (Christine, Griffin and Jimmy creek falls)especially Austin Falls were spectacular after over 5&quot; of rain. Be careful here because one slip and you're history. TN but pictures and Left nothing but foot prints. We're full time RV'ers seeing America one geocache at a time.</p>
<p>[This entry was edited by CTC42 on Sunday, July 27, 2008 at 7:41:48 PM.]</p>","Auger Falls Cave","https://www.geocaching.com/geocache/GC1307W_auger-falls-cave","United States",108,5,2008-01-01,NA,2008-01-01
"36",24,"2008-09","Confirmed"," ","2008-09"," ","New York","Hamilton","36041","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Hamilton-New York",2008-01-01,2008,25,"GC1307W","Auger Falls Cave",43.46728,-74.24645,2008-07-21,"Type.found_it","simonscreams","<p>This is an amazing location.  One of the best cache we have done in awhile.  We were camping in Wells, NY and we completed 9 caches in 3 days but this was one of the best !  </p>","Auger Falls Cave","https://www.geocaching.com/geocache/GC1307W_auger-falls-cave","United States",108,5,2008-01-01,NA,2008-01-01
"37",24,"2008-09","Confirmed"," ","2008-09"," ","New York","Hamilton","36041","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Hamilton-New York",2008-01-01,2008,25,"GC1307W","Auger Falls Cave",43.46728,-74.24645,2008-07-18,"Type.found_it","rvrbnd","<p>Have been to Auger Falls many times for a swim and picnic (up and around the bend from the cache), but never knew there was a geocache here.  Our nephew's 1st geocache. He left a bottle cap and took a bouncy ball.  Didn't have a flashlight, but the hint led us right to it.<br />
TFTC!  </p>","Auger Falls Cave","https://www.geocaching.com/geocache/GC1307W_auger-falls-cave","United States",108,5,2008-01-01,NA,2008-01-01
"38",24,"2008-09","Confirmed"," ","2008-09"," ","New York","Hamilton","36041","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Hamilton-New York",2008-01-01,2008,25,"GC1307W","Auger Falls Cave",43.46728,-74.24645,2008-07-13,"Type.found_it","bluegirl","<p>Found with GeoLobo.  The water was pretty high from recent heavy rains and was roaring through the falls.  It was pretty frightening while I was looking around for the cave.  TFTC</p>","Auger Falls Cave","https://www.geocaching.com/geocache/GC1307W_auger-falls-cave","United States",108,5,2008-01-01,NA,2008-01-01
"39",24,"2008-09","Confirmed"," ","2008-09"," ","New York","Hamilton","36041","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Hamilton-New York",2008-01-01,2008,25,"GC1307W","Auger Falls Cave",43.46728,-74.24645,2008-07-13,"Type.found_it","GeoLobo","<p>FOund with Bluegirl and Odin Dog. 1st of 6 caches found today. Got there before the rain really came in. Very nice steep area...making it a real nice challenge. TFTC!</p>","Auger Falls Cave","https://www.geocaching.com/geocache/GC1307W_auger-falls-cave","United States",108,5,2008-01-01,NA,2008-01-01
"40",24,"2008-09","Confirmed"," ","2008-09"," ","New York","Hamilton","36041","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Hamilton-New York",2008-01-01,2008,25,"GC1307W","Auger Falls Cave",43.46728,-74.24645,2008-07-04,"Type.found_it","rventh","<p>Beautiful place for a cache. TFTC</p>","Auger Falls Cave","https://www.geocaching.com/geocache/GC1307W_auger-falls-cave","United States",108,5,2008-01-01,NA,2008-01-01
"41",24,"2008-09","Confirmed"," ","2008-09"," ","New York","Hamilton","36041","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Hamilton-New York",2008-01-01,2008,25,"GC1307W","Auger Falls Cave",43.46728,-74.24645,2008-06-27,"Type.found_it","JoenGPS","<p>What a spot, loved the view. A nice challenge and the cache is still there and in good shape. The coin is gone. We recommend this one. The best of the day for us!  TNLNSL, TFTC, TFTH</p>","Auger Falls Cave","https://www.geocaching.com/geocache/GC1307W_auger-falls-cave","United States",108,5,2008-01-01,NA,2008-01-01
"42",25,"2008-09","Confirmed"," ","2008-09"," ","Vermont","Windsor","50027","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Windsor-Vermont",2008-01-01,2008,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008-01-01,NA,2008-01-01
"43",26,"2007-08","Confirmed"," ","2007-08"," ","Vermont","Rutland","50021","United States",-27107481600000,-27107481600000,1199145600000,4070908800000,8,"Rutland-Vermont",2007-01-01,2007,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-01-01,NA,2007-01-01
"44",27,"2016-17","Confirmed","2012-13","2016-17","03/01/2017","Minnesota","Fillmore","27045","United States",1356998400000,1451606400000,1483228800000,4070908800000,17,"Fillmore-Minnesota",2016-01-01,2016,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-01,2012-01-01,2016-01-01
"45",28,"2008-09","Confirmed"," ","2008-09"," ","New York","Washington","36115","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Washington-New York",2008-01-01,2008,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008-01-01,NA,2008-01-01
"46",29,"2007-08","Confirmed"," ","2007-08"," ","New York","Warren","36113","United States",-27107481600000,-27107481600000,1199145600000,4070908800000,8,"Warren-New York",2007-01-01,2007,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-01-01,NA,2007-01-01
"47",30,"2008-09","Confirmed"," ","2008-09"," ","New Hampshire","Merrimack","33013","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Merrimack-New Hampshire",2008-01-01,2008,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008-01-01,NA,2008-01-01
"48",31,"2014-15","Confirmed"," ","2014-15"," ","Wisconsin","Richland","55103","United States",-27107481600000,-27107481600000,1420070400000,4070908800000,15,"Richland-Wisconsin",2014-01-01,2014,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-01-01,NA,2014-01-01
"49",32,"2014-15","Confirmed"," ","2014-15"," ","Wisconsin","Crawford","55023","United States",-27107481600000,-27107481600000,1420070400000,4070908800000,15,"Crawford-Wisconsin",2014-01-01,2014,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-01-01,NA,2014-01-01
"50",33,"2007-08","Confirmed"," ","2007-08"," ","Vermont","Bennington","50003","United States",-27107481600000,-27107481600000,1199145600000,4070908800000,8,"Bennington-Vermont",2007-01-01,2007,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-01-01,NA,2007-01-01
"51",34,"2010-11","Suspect","2010-11"," "," ","New Hampshire","Rockingham","33015","United States",1.29384e+12,4070908800000,-27107481600000,-27107481600000,11,"Rockingham-New Hampshire",2010-01-01,2010,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-01-01,2010-01-01,NA
"52",35,"2008-09","Confirmed"," ","2008-09"," ","Vermont","Windham","50025","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Windham-Vermont",2008-01-01,2008,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008-01-01,NA,2008-01-01
"53",36,"2015-16","Confirmed","2014-15","2015-16"," ","Wisconsin","Iowa","55049","United States",1420070400000,1420070400000,1451606400000,4070908800000,16,"Iowa-Wisconsin",2015-01-01,2015,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-01-01,2014-01-01,2015-01-01
"54",37,"2013-14","Confirmed"," ","2013-14"," ","Wisconsin","Grant","55043","United States",-27107481600000,-27107481600000,1388534400000,4070908800000,14,"Grant-Wisconsin",2013-01-01,2013,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-01-01,NA,2013-01-01
"55",38,"2015-16","Confirmed"," ","2015-16"," ","Iowa","Clayton","19043","United States",-27107481600000,-27107481600000,1451606400000,4070908800000,16,"Clayton-Iowa",2015-01-01,2015,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-01-01,NA,2015-01-01
"56",39,"2007-08","Confirmed"," ","2007-08"," ","New York","Montgomery","36057","United States",-27107481600000,-27107481600000,1199145600000,4070908800000,8,"Montgomery-New York",2007-01-01,2007,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-01-01,NA,2007-01-01
"57",40,"2006-07","Confirmed","2005-06","2006-07"," ","New York","Schoharie","36095","United States",1136073600000,1136073600000,1167609600000,4070908800000,7,"Schoharie-New York",2006-01-01,2006,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006-01-01,2005-01-01,2006-01-01
"58",41,"2014-15","Suspect","2014-15"," "," ","Wisconsin","Lafayette","55065","United States",1420070400000,4070908800000,-27107481600000,-27107481600000,15,"Lafayette-Wisconsin",2014-01-01,2014,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-01-01,2014-01-01,NA
"59",42,"2006-07","Confirmed"," ","2006-07"," ","New York","Albany","36001","United States",-27107481600000,-27107481600000,1167609600000,4070908800000,7,"Albany-New York",2006-01-01,2006,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006-01-01,NA,2006-01-01
"60",43,"2007-08","Confirmed"," ","2007-08"," ","Massachusetts","Berkshire","25003","United States",-27107481600000,-27107481600000,1199145600000,4070908800000,8,"Berkshire-Massachusetts",2007-01-01,2007,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-01-01,NA,2007-01-01
"61",44,"2007-08","Confirmed"," ","2007-08"," ","Massachusetts","Franklin","25011","United States",-27107481600000,-27107481600000,1199145600000,4070908800000,8,"Franklin-Massachusetts",2007-01-01,2007,45,"GCCA89","Monks cave or beehive cave??",42.50685,-72.40978,2007-11-25,"Type.found_it","jeanjeangeomachine","<p>Found it even though the woodland spirits spun the GPS like a top. Excellent spot. Great for kids and hot chocolate. </p>","Monks cave or beehive cave??","https://www.geocaching.com/geocache/GCCA89_monks-cave-or-beehive-cave","United States",126,6,2007-01-01,NA,2007-01-01
"62",44,"2007-08","Confirmed"," ","2007-08"," ","Massachusetts","Franklin","25011","United States",-27107481600000,-27107481600000,1199145600000,4070908800000,8,"Franklin-Massachusetts",2007-01-01,2007,45,"GCCA89","Monks cave or beehive cave??",42.50685,-72.40978,2007-10-26,"Type.found_it","gaboss","<p>It was an absolutely perfect fall morning for caching. Nice cool air but sunny, perfect foliage, and no mosquitoes. Found this one quickly, despite very erratic GPS.  Thanks.  -GAB-</p>","Monks cave or beehive cave??","https://www.geocaching.com/geocache/GCCA89_monks-cave-or-beehive-cave","United States",126,6,2007-01-01,NA,2007-01-01
"63",44,"2007-08","Confirmed"," ","2007-08"," ","Massachusetts","Franklin","25011","United States",-27107481600000,-27107481600000,1199145600000,4070908800000,8,"Franklin-Massachusetts",2007-01-01,2007,45,"GCCA89","Monks cave or beehive cave??",42.50685,-72.40978,2007-09-01,"Type.found_it","4 girls & a guy","<p>Gave this one a try today after searching out the Peace Pagoda.  Papa had heard there were some caves over in the area  across from the &quot;Hello Bill!&quot; boathouse, so he was anxious to check it out.  
</p>
<p>Drove to the area - so great to see that there really are some areas of 'backwoods' in Massachusetts - and the kids sprinted out to try and make the easy find after we had parked just past the cache.  Cameron made the easy find and the mayhem was on.</p>
<p>Meanwhile Papa, visibly disappointed his 'first to locate' streak was over, decided to search out the Monk's Cave, which provided our second search at this cache!  Wish we would've brought a flashlight to take a look around in the  'man-made' hole in the ground!  
</p>
<p>Ryleigh thought the cottage could use a new set of cards, so she left a puzzle, and Cameron decided he didn't really need anymore baseball cards, so he just hung on to his yo-yo from the earlier cache. </p>
<p>TFTC.</p>","Monks cave or beehive cave??","https://www.geocaching.com/geocache/GCCA89_monks-cave-or-beehive-cave","United States",126,6,2007-01-01,NA,2007-01-01
