"","STATION","DATE","LATITUDE","LONGITUDE","NAME","MIN"
"70","72034054818","2007-01-01","44.62556","-86.20083","FRANKFORT DOW MEMORIAL FIELD AIRPORT, MI US","  37.4"
"71","72034253947","2007-01-01","35.86444","-98.42056","WATONGA AIRPORT, OK US","  28.4"
"72","72034354852","2007-01-01","44.33333","-89.01972","WAUPACA MUNICIPAL AIRPORT, WI US","  32.0"
"73","72034454920","2007-01-01","42.73167","-95.55583","CHEROKEE MUNICIPAL AIRPORT, IA US","  23.0"
"74","72034763877","2007-01-01","33.59778","-83.13889","GREENSBORO GREENE CO REGIONAL AIRPORT, GA US","  51.8"
"75","72034863886","2007-01-01","33.15417","-83.24056","MILLEDGEVILLE BALDWIN CO AIRPORT, GA US","  53.6"
"76","72035154919","2007-01-01","41.22611","-92.49083","OSKALOOSA MUNICIPAL AIRPORT, IA US","  30.2"
"77","72035503732","2007-01-01","39.6","-78.76667","CUMBERLAND, MD US","  42.8"
"78","72035753993","2007-01-01","35.95","-96.77306","CUSHING MUNICIPAL AIRPORT, OK US","  28.4"
"79","72036163870","2007-01-01","31.0425","-86.31167","FLORALA MUNICIPAL AIRPORT, AL US","  54.0"
"80","72036263874","2007-01-01","31.84556","-86.61083","GREENVILLE MAC CRENSHAW MEMORIAL AIRPORT, AL US","  46.0"
"81","72036363872","2007-01-01","31.95139","-85.12889","EUFAULA WEEDON FIELD AIRPORT, AL US","  52.0"
"82","72037154850","2007-01-01","41.95972","-85.59333","THREE RIVERS MUNICIPAL DR HAINES AIRPORT, MI US","  33.8"
"83","72037392824","2007-01-01","28.00028","-82.16417","PLANT CITY MUNICIPAL AIRPORT, FL US","  68.0"
"84","72037492825","2007-01-01","27.91556","-82.44917","TAMPA PETER O KNIGHT AIRPORT, FL US","  68.0"
"85","72037554844","2007-01-01","46.00722","-83.74278","DRUMMOND ISLAND AIRPORT, MI US","  33.8"
"86","72037663880","2007-01-01","34.22917","-86.25583","ALBERTVILLE MUNICIPAL AIRPORT, AL US","  41.0"
"87","72037713917","2007-01-01","35.63333","-91.16667","NEWPORT MUNICIPAL AIRPORT, AR US","  36.0"
"88","72037963882","2007-01-01","36.85528","-84.85611","MONTICELLO WAYNE CO AIRPORT, KY US","  36.9"
"89","72038163885","2007-01-01","30.29056","-87.67167","GULF SHORES JACK EDWARDS AIRPORT, AL US","  53.6"
"90","72200354930","2007-01-01","44.47556","-93.01639","STANTON AIRFIELD, MN US","  17.6"
"91","72200454922","2007-01-01","46.24417","-96.60722","WAHPETON HARRY STERN AIRPORT, ND US","   5.0"
"92","72200654926","2007-01-01","43.62111","-96.21583","LUVERNE QUENTIN AANENSON FIELD AIRPORT, MN US","  19.4"
"93","72200812995","2007-01-01","27.81194","-97.08861","PORT ARANSAS MUSTANG BEACH AIRPORT, TX US","  46.4"
"94","72201192813","2007-01-01","28.28972","-81.43694","ORLANDO KISSIMMEE MUNICIPAL AIRPORT, FL US","  66.2"
"95","72201412818","2007-01-01","28.47361","-82.45444","BROOKSVILLE HERNANDO CO AIRPORT, FL US","  66.2"
"96","72202212803","2007-01-01","26.37833","-80.1075","BOCA RATON AIRPORT, FL US","  73.4"
"97","72202412882","2007-01-01","25.90694","-80.28028","MIAMI OPA LOCKA AIRPORT, FL US","  64.9"
"98","72202912888","2007-01-01","25.6475","-80.43306","MIAMI KENDALL TAMIAMI EXEC AIRPORT, FL US","  62.1"
"99","72203163839","2007-01-01","34.26889","-86.85833","CULLMAN FOLSOM FIELD AIRPORT, AL US","  37.4"
"100","72203254916","2007-01-01","44.07361","-93.55306","WASECA MUNICIPAL AIRPORT, MN US","  19.4"
"101","72203304999","2007-01-01","44.75333","-95.55611","GRANITE FALLS MUNICIPAL AIRPORT LENZEN ROE MEMORIAL FIELD, MN US","  17.6"
"102","72203412812","2007-01-01","26.91722","-81.99139","PUNTA GORDA CHARLOTTE CO AIRPORT, FL US","  66.0"
"103","72203792809","2007-01-01","25.99889","-80.24111","HOLLYWOOD NORTH PERRY AIRPORT, FL US","  66.0"
"104","72203912885","2007-01-01","26.19694","-80.17083","FORT LAUDERDALE EXECUTIVE AIRPORT, FL US","  72.0"
"105","72204112993","2007-01-01","29.44472","-90.26111","GALLIANO SOUTH LAFOURCHE AIRPORT, LA US","  46.4"
"106","72204253978","2007-01-01","32.74222","-95.49639","MINEOLA WOOD CO AIRPORT, TX US","  33.8"
"107","72204453930","2007-01-01","34.80417","-96.67111","ADA MUNICIPAL AIRPORT, OK US","  28.4"
"108","72204612898","2007-01-01","28.51667","-80.8","TITUSVILLE SPACE CENTER EXEC AIRPORT, FL US","  69.8"
"109","72204992805","2007-01-01","26.25","-80.10833","POMPANO BEACH AIRPARK, FL US","  73.0"
"110","72205253933","2007-01-01","36.77306","-98.66972","ALVA REGIONAL AIRPORT, OK US","  26.6"
"111","72205512861","2007-01-01","29.16667","-82.23333","OCALA JIM TAYLOR FIELD, FL US","  68.0"
"112","72205904866","2007-01-01","42.69","-88.30361","BURLINGTON MUNICIPAL AIRPORT, WI US","  35.6"
"113","72206263842","2007-01-01","31.47667","-82.86056","DOUGLAS MUNICIPAL AIRPORT, GA US","  55.4"
"114","72206763823","2007-01-01","30.21861","-81.87639","JACKSONVILLE CECIL FIELD AIRPORT, FL US","  62.6"
"115","72206953853","2007-01-01","30.4","-86.47167","DESTIN FORT WALTON BEACH AIRPORT, FL US","  59.0"
"116","72207153935","2007-01-01","35.09611","-97.96611","CHICKASHA MUNICIPAL AIRPORT, OK US","  28.4"
"117","72207303727","2007-01-01","34.97556","-78.36444","CLINTON SAMPSON CO AIRPORT, NC US","  57.2"
"118","72207463840","2007-01-01","38.08944","-88.12306","CARMI MUNICIPAL AIRPORT, IL US","  35.6"
"119","72207504871","2007-01-01","41.93167","-88.70806","DE KALB TAYLOR MUNICIPAL AIRPORT, IL US","  33.8"
"120","72207694891","2007-01-01","40.2","-87.6","DANVILLE VERMILION CO AIRPORT, IL US","  32.0"
"121","72207853938","2007-01-01","34.47083","-97.95083","HALLIBURTON FIELD AIRPORT, OK US","  30.2"
"122","72207953888","2007-01-01","35.78111","-80.30361","LEXINGTON DAVIDSON CO AIRPORT, NC US","  53.6"
"123","72208204876","2007-01-01","42.24611","-89.58222","FREEPORT ALBERTUS AIRPORT, IL US","  33.8"
"124","72208994959","2007-01-01","40.93333","-90.43333","GALESBURG MUNICIPAL AIRPORT, IL US","  30.2"
"125","72209003875","2007-01-01","31.88333","-81.56667","FORT STEWART WRIGHT, GA US","  58.8"
"126","72209153940","2007-01-01","36.29417","-95.47944","CLAREMORE REGIONAL AIRPORT, OK US","  28.4"
"127","72209253941","2007-01-01","36.605","-94.73833","GROVE MUNICIPAL AIRPORT, OK US","  30.2"
"128","72209304878","2007-01-01","44.68028","-84.72861","GRAYLING ARMY AIR FIELD AIRPORT, MI US","  33.8"
"129","72209453984","2007-01-01","32.69861","-97.04667","GRAND PRAIRIE MUNICIPAL AIRPORT, TX US","  33.8"
"130","72209503030","2007-01-01","36.68167","-101.50528","GUYMON MUNICIPAL AIRPORT, OK US","  10.9"
"131","72209704936","2007-01-01","41.58417","-95.33944","HARLAN MUNICIPAL AIRPORT, IA US","  17.6"
"132","72209953936","2007-01-01","35.72361","-96.82","CHANDLER MUNICIPAL AIRPORT, OK US","  28.4"
"133","72210312895","2007-01-01","27.49806","-80.37667","FORT PIERCE ST LUCIE CO INTERNATIONAL AIRPORT, FL US","  64.0"
"134","72210703056","2007-01-01","32.67528","-102.65444","GAINES CO AIRPORT, TX US","  23.0"
"135","72210812894","2007-01-01","26.53611","-81.755","FORT MYERS SW FLORIDA REGIONAL AIRPORT, FL US","  66.0"
"136","72211253982","2007-01-01","32.69889","-94.94889","GILMER MUNICIPAL AIRPORT, TX US","  33.8"
"137","72211512871","2007-01-01","27.40139","-82.55861","SARASOTA BRADENTON AIRPORT, FL US","  64.9"
"138","72211612873","2007-01-01","27.91056","-82.6875","ST PETERSBURG CLEARWATER INTERNATIONAL AIRPORT, FL US","  69.1"
"139","72211912883","2007-01-01","28.0","-82.05","LAKELAND LINDER REGIONAL AIRPORT, FL US","  68.0"
"140","72212203050","2007-01-01","32.69333","-100.95056","SNYDER WINSTON FIELD AIRPORT, TX US","  26.6"
"141","72212404998","2007-01-01","40.14917","-97.58667","HEBRON MUNICIPAL AIRPORT, NE US","  21.2"
"142","72212504829","2007-01-01","43.43333","-83.86667","SAGINAW HARRY W BROWNE AIRPORT, MI US","  35.6"
"143","72212604879","2007-01-01","41.53972","-87.53194","CHICAGO LANSING MUNICIPAL AIRPORT, IL US","  35.6"
"144","72212704880","2007-01-01","41.0714","-87.8463","GREATER KANKAKEE AIRPORT, IL US","  33.8"
"145","72212853899","2007-01-01","35.48306","-81.16111","LINCOLNTON LINCOLN CO REGIONAL AIRPORT, NC US","  55.4"
"146","72212904939","2007-01-01","46.83917","-96.66306","MOORHEAD MUNICIPAL AIRPORT, MN US","   6.8"
"147","72213103713","2007-01-01","35.54083","-78.39028","SMITHFIELD JOHNSTON CO AIRPORT, NC US","  57.2"
"148","72213263801","2007-01-01","35.38963","-80.70735","CONCORD REGIONAL AIRPORT, NC US","  53.6"
"149","72213353946","2007-01-01","35.43806","-94.80278","SALLISAW MUNICIPAL AIRPORT, OK US","  30.2"
"150","72213463822","2007-01-01","32.1925","-82.37194","VIDALIA MUNICIPAL AIRPORT, GA US","  55.4"
"151","72213653883","2007-01-01","31.25889","-81.46611","BRUNSWICK GLYNCO JETPORT AIRPORT, GA US","  60.8"
"152","72214353975","2007-01-01","32.57917","-96.71917","LANCASTER AIRPORT, TX US","  32.0"
"153","72214404945","2007-01-01","45.23583","-93.98556","MAPLE LAKE MUNICIPAL AIRPORT, MN US","  21.2"
"154","72214504884","2007-01-01","45.42556","-84.91333","HARBOR SPRINGS AIRPORT, MI US","  35.6"
"155","72214863824","2007-01-01","35.41667","-80.15056","STANLY CO AIRPORT, NC US","  48.2"
"156","72214904899","2007-01-01","41.35167","-89.15306","PERU IL VALLEY REGIONAL WALTER A DUNCAN FIELD AIRPORT, IL US","  33.8"
"157","72215114794","2007-01-01","41.34972","-71.79889","WESTERLY STATE AIRPORT, RI US","  27.0"
"158","72215453885","2007-01-01","34.72167","-84.86889","DALTON MUNICIPAL AIRPORT, GA US","  37.4"
"159","72215503040","2007-01-01","39.21667","-104.63333","MONUMENT PASS, CO US","   3.2"
"160","72215653873","2007-01-01","34.12306","-84.84861","CARTERSVILLE AIRPORT, GA US","  37.4"
"161","72215704949","2007-01-01","40.52028","-90.65222","MACOMB MUNICIPAL AIRPORT, IL US","  33.8"
"162","72215912980","2007-01-01","26.1775","-97.97306","WESLACO MID VALLEY AIRPORT, TX US","  44.6"
"163","72216453949","2007-01-01","35.66806","-95.94861","OKMULGEE MUNICIPAL AIRPORT, OK US","  28.4"
"164","72216703718","2007-01-01","38.24694","-78.04556","ORANGE CO AIRPORT, VA US","  41.0"
"165","72216804960","2007-01-01","44.77861","-95.03278","OLIVIA REGIONAL AIRPORT, MN US","  17.6"
"166","72217104889","2007-01-01","40.9244","-88.6239","PONTIAC MUNICIPAL AIRPORT, IL US","  35.6"
"167","72217263810","2007-01-01","39.7","-87.66944","PARIS EDGAR CO AIRPORT, IL US","  33.8"
"168","72217353951","2007-01-01","34.71083","-97.22306","PAULS VALLEY MUNICIPAL AIRPORT, OK US","  28.4"
"169","72217423097","2007-01-01","34.16667","-101.71667","PLAINVIEW HALE CO AIRPORT, TX US","  24.8"
"170","72217653884","2007-01-01","33.31194","-84.77028","NEWNAN COWETA CO AIRPORT, GA US","  44.6"
"171","72217763811","2007-01-01","35.195","-83.86528","ANDREWS MURPHY AIRPORT, NC US","  42.8"
"172","72217853953","2007-01-01","35.02139","-94.62111","POTEAU ROBERT S KERR AIRPORT, OK US","  33.8"
"173","72217904968","2007-01-01","45.15","-92.53333","NEW RICHMOND MUNICIPAL AIRPORT, WI US","  23.0"
"174","72218113837","2007-01-01","33.46694","-82.03861","AUGUSTA DANIEL FIELD AIRPORT, GA US","  53.1"
"175","72218204890","2007-01-01","41.89278","-89.07806","ROCHELLE MUNICIPAL KORITZ FIELD AIRPORT, IL US","  33.8"
"176","72218304972","2007-01-01","45.8225","-92.3725","SIREN BURNETT CO AIRPORT, WI US","  21.2"
"177","72218553838","2007-01-01","34.27194","-83.83028","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","  35.6"
"178","72218604892","2007-01-01","45.68889","-85.56611","BEAVER ISLAND AIRPORT, MI US","  35.6"
"179","72218793911","2007-01-01","35.35667","-96.94333","SHAWNEE MUNICIPAL AIRPORT, OK US","  28.4"
"180","72218992815","2007-01-01","27.18167","-80.22083","STUART WITHAM FIELD AIRPORT, FL US","  73.4"
"181","72219223033","2007-01-01","32.47333","-100.46639","SWEETWATER AVENGER FIELD, TX US","  28.4"
"182","72219303722","2007-01-01","36.28472","-78.98417","ROXBORO PERSON CO AIRPORT, NC US","  53.6"
"183","72219404896","2007-01-01","40.29333","-88.14222","RANTOUL NATIONAL AVIATION CENTER F ELLIOTT FIELD AIRPORT, IL US","  30.2"
"184","72219503888","2007-01-01","33.77917","-84.52139","ATLANTA FULTON CO AIRPORT, GA US","  46.0"
"185","72219653863","2007-01-01","33.875","-84.30222","ATLANTA DEKALB PEACHTREE AIRPORT, GA US","  46.9"
"186","72219753819","2007-01-01","33.35528","-84.56694","PEACHTREE CITY FALCON FIELD, GA US","  46.0"
"187","72219953956","2007-01-01","35.92889","-95.00444","TAHLEQUAH MUNICIPAL AIRPORT, OK US","  30.2"
"188","72220103723","2007-01-01","35.58222","-79.10111","SANFORD LEE CO REGIONAL AIRPORT, NC US","  53.6"
"189","72220212985","2007-01-01","29.21139","-99.74361","GARNER FIELD AIRPORT, TX US","  33.8"
"190","72220404996","2007-01-01","42.04583","-90.10806","SAVANNA TRI TOWNSHIP AIRPORT, IL US","  33.8"
"191","72220912986","2007-01-01","28.65417","-96.68139","CALHOUN CO AIRPORT, TX US","  37.4"
"192","72221194087","2007-01-01","41.96444","-100.56861","THEDFORD THOMAS CO AIRPORT, NE US","  10.4"
"193","72221292814","2007-01-01","29.95917","-81.33972","ST AUGUSTINE AIRPORT, FL US","  68.0"
"194","72221312819","2007-01-01","28.82083","-81.80972","LEESBURG MUNICIPAL AIRPORT, FL US","  66.2"
"195","72221403070","2007-01-01","35.85806","-102.01306","DUMAS MOORE CO AIRPORT, TX US","  19.4"
"196","72221763881","2007-01-01","32.56444","-82.98528","DUBLIN MUNICIPAL AIRPORT, GA US","  46.4"
"197","72223863873","2007-01-01","31.35","-85.66667","OZARK FORT RUCKER, AL US","  51.1"
"198","72224154925","2007-01-01","42.24222","-96.98306","WAYNE MUNICIPAL AIRPORT, NE US","  19.4"
"199","72224754785","2007-01-01","40.62405","-74.66905","SOMERSET AIRPORT, NJ US","  42.1"
"200","72224963887","2007-01-01","39.53111","-84.39528","MIDDLETOWN HOOK FIELD MUNICIPAL AIRPORT, OH US","  37.4"
"201","72225153958","2007-01-01","32.51444","-92.58833","RUSTON REGIONAL AIRPORT, LA US","  32.0"
"202","72225254923","2007-01-01","44.72944","-96.26611","CANBY MYERS FIELD AIRPORT, MN US","  19.4"
"203","72225353992","2007-01-01","32.75611","-91.88056","BASTROP MOREHOUSE MEMORIAL AIRPORT, LA US","  39.2"
"204","72226813839","2007-01-01","31.3167","-85.45","DOTHAN REGIONAL AIRPORT, AL US","  55.0"
"205","72227553843","2007-01-01","31.30889","-86.39389","ANDALUSIA OPP AIRPORT, AL US","  50.0"
"206","72227653820","2007-01-01","31.41556","-87.04417","EVERGREEN MIDDLETON FIELD, AL US","  46.0"
"207","72227953852","2007-01-01","34.6525","-86.94528","DECATUR PRYOR FIELD, AL US","  37.4"
"208","72228403892","2007-01-01","32.61611","-85.43333","AUBURN OPELIKA AIRPORT, AL US","  44.6"
"209","72228503896","2007-01-01","33.96667","-86.08333","GADSDEN MUNICIPAL AIRPORT, AL US","  37.4"
"210","72231203908","2007-01-01","30.52083","-90.4175","HAMMOND MUNICIPAL AIRPORT, LA US","  41.0"
"211","72231453915","2007-01-01","30.0375","-91.8839","NEW IBERIA AIRPORT ACADIANA REGIONAL, LA US","  42.1"
"212","72231953943","2007-01-01","31.73583","-93.09917","NATCHITOCHES REGIONAL AIRPORT, LA US","  37.4"
"213","72232403071","2007-01-01","32.03639","-102.10111","MIDLAND AIRPARK, TX US","  26.6"
"214","72233254953","2007-01-01","45.46917","-89.80556","TOMAHAWK REGIONAL AIRPORT, WI US","  26.6"
"215","72233403976","2007-01-01","30.83333","-93.33333","DE RIDDER BEAUREGARD PARISH AIRPORT, LA US","  37.4"
"216","72233812994","2007-01-01","27.34944","-98.73694","HEBBRONVILLE JIM HOGG CO AIRPORT, TX US","  37.4"
"217","72234192822","2007-01-01","29.29583","-81.1125","ORMOND BEACH MUNICIPAL AIRPORT, FL US","  68.0"
"218","72234254931","2007-01-01","44.24917","-95.60722","TRACY MUNICIPAL AIRPORT, MN US","  21.2"
"219","72234354826","2007-01-01","42.35083","-86.25611","SOUTH HAVEN AREA REGIONAL AIRPORT, MI US","  35.6"
"220","72234853808","2007-01-01","31.46667","-89.33333","LAUREL HATTIESBURG PINE BELT REGIONAL AIRPORT, MS US","  42.8"
"221","72235112953","2007-01-01","29.26611","-96.0075","WHARTON REGIONAL AIRPORT, TX US","  37.4"
"222","72235703961","2007-01-01","31.61667","-91.28333","NATCHEZ ADAM CO AIRPORT, MS US","  37.4"
"223","72236192808","2007-01-01","29.05417","-80.94833","NEW SMYRNA BEACH MUNICIPAL AIRPORT, FL US","  68.0"
"224","72236293937","2007-01-01","33.16667","-95.61667","SULPHUR SPRINGS MUNICIPAL AIRPORT, TX US","  33.8"
"225","72236323098","2007-01-01","29.94667","-100.17333","ROCKSPRINGS, TX US","  33.8"
"226","72240312968","2007-01-01","29.56222","-91.52556","SALT POINT, LA US","  46.9"
"227","72242712975","2007-01-01","29.51889","-95.24167","HOUSTON CLOVER FIELD, TX US","  39.0"
"228","72242953910","2007-01-01","30.0675","-95.55611","HOUSTON HOOKS MEMORIAL AIRPORT, TX US","  35.1"
"229","72244453902","2007-01-01","30.35667","-95.41389","CONROE MONTGOMERY CO AIRPORT, TX US","  32.0"
"230","72244753903","2007-01-01","30.74389","-95.58611","HUNTSVILLE MUNICIPAL AIRPORT, TX US","  34.0"
"231","72246953912","2007-01-01","32.03111","-96.39889","CORSICANA CAMPBELL FIELD, TX US","  32.0"
"232","72247953907","2007-01-01","32.66361","-97.09389","ARLINGTON MUNICIPAL AIRPORT, TX US","  32.0"
"233","72248953911","2007-01-01","32.71","-96.26722","TERRELL MUNICIPAL AIRPORT, TX US","  32.0"
"234","72249953948","2007-01-01","31.57778","-94.70944","NACOGDOCHES A L MANGHAM JR REGIONAL AIRPORT, TX US","  32.0"
"235","72252412972","2007-01-01","28.08361","-97.04639","ROCKPORT ARANSAS CO AIRPORT, TX US","  39.9"
"236","72252712976","2007-01-01","29.10972","-95.46194","ANGLETON LAKE JACKSON BRAZORIA CO AIRPORT, TX US","  35.1"
"237","72253712961","2007-01-01","29.98333","-99.08333","KERRVILLE MUNICIPAL AIRPORT, TX US","  28.4"
"238","72253912979","2007-01-01","29.89083","-97.86444","SAN MARCOS MUNICIPAL AIRPORT, TX US","  32.0"
"239","72254153914","2007-01-01","33.19028","-96.59139","MCKINNEY MUNICIPAL AIRPORT, TX US","  30.9"
"240","72254203999","2007-01-01","30.7406","-98.2354","BURNET MUNICIPAL AIRPORT, TX US","  33.1"
"241","72254312977","2007-01-01","29.62194","-95.65667","HOUSTON SUGARLAND MEM, TX US","  36.0"
"242","72254753942","2007-01-01","30.67917","-97.67944","GEORGETOWN MUNICIPAL AIRPORT, TX US","  30.2"
